DateTime,Herzberg,Sulzbann,Strichen,Chornberg
2008-09-18 20:00:00,9.560776610439362,8.864831576392376,7.710687131106157,7.515951168931907
2008-09-18 21:00:00,4.776524286963978,3.6444632296804307,3.235020410022654,3.657262421227399
2008-09-18 22:00:00,3.440624963257262,2.878245939436322,2.0322355091101576,2.8501878212985585
2008-09-18 23:00:00,2.003421821352326,1.9311588910354003,1.3122989810708499,1.410681649823271
2008-09-19 00:00:00,3.4463723262040875,2.888098813744841,2.230897862171173,2.422029139092512
2008-09-19 01:00:00,1.3295344757472518,1.3172076120613403,0.7415960086084645,1.105253160047369
2008-09-19 02:00:00,1.324814725705041,1.2450654983960447,0.7652434942798183,1.1065134027431696
2008-09-19 03:00:00,0.6653888160682155,0.497156499573069,0.35834973136723114,0.5030111031092978
2008-09-19 04:00:00,2.7789965257790556,2.8422526402522714,2.3271756148689997,2.0949376749680493
2008-09-19 05:00:00,1.9939142156879883,1.6899438361418437,1.211964923047342,1.6207358261520506
2008-09-19 06:00:00,3.4653805538888585,2.9891455303866707,2.3464853322609436,2.422527071384661
2008-09-19 07:00:00,1.9967350724131727,1.6986690768004356,1.4142598389465058,1.7639707914698877
2008-09-19 08:00:00,3.463491683762102,2.6817619791335283,2.9492540761235033,2.838464280188493
2008-09-19 09:00:00,4.77259722650146,4.174644339486285,3.7447858305891173,4.017603233490353
2008-09-19 10:00:00,3.4444041378524703,2.8256994894890926,2.044672061313456,2.526278027494886
2008-09-19 11:00:00,4.789447394257889,4.396018575287735,2.571041547808991,3.7813187661149263
2008-09-19 12:00:00,5.425644932239258,5.194615019402874,4.947973453284412,4.63802290184942
2008-09-19 13:00:00,2.77951115359711,2.722020653837469,2.03320824263498,2.405306732703989
2008-09-19 14:00:00,4.782889630763696,3.8061775569795593,3.9125718244607506,3.6378807979541636
2008-09-19 15:00:00,5.438845979225675,5.2604549288809475,3.5063025687350504,4.200566928480291
2008-09-19 16:00:00,4.797169060972553,3.7528258911375376,2.6300658003045307,3.4898804421517235
2008-09-19 17:00:00,3.4663388843637915,3.5037986317188867,2.4464026469933513,2.5900559922553055
2008-09-19 18:00:00,2.7869671511292107,2.5679571992525063,2.2638971989871695,2.2909351356499625
2008-09-19 19:00:00,2.791435429907421,2.4470673628512496,1.901566430377448,2.3793769242252867
2008-09-19 20:00:00,2.7851874496457305,2.3313084394915955,2.591237237401785,2.3044991728079025
2008-09-19 21:00:00,2.0003399240596975,1.5944964603285012,1.5544532124341217,1.704283707502079
2008-09-19 22:00:00,0.6653304675054511,0.6166174331087412,0.4073421187788801,0.5634640338337172
2008-09-19 23:00:00,1.3335180153182344,1.115458145311449,1.1591684580587294,0.9257399301708953
2008-09-20 00:00:00,2.7808494756590423,2.2919340822062253,2.18903821483696,2.3581923468439596
2008-09-20 01:00:00,1.990846175709793,1.6057457752735105,1.7181077332225856,1.5190564279748067
2008-09-20 02:00:00,4.124545788183365,3.4863714503295116,3.232545704229148,3.4940089889179187
2008-09-20 03:00:00,4.138881182304393,3.9358323198078997,2.326441928552207,3.2706876319717946
2008-09-20 04:00:00,3.4507347654977365,2.8231540149123937,2.426225077186161,2.422570980959496
2008-09-20 05:00:00,2.0014697955397183,1.8147761047153232,1.7690402144473123,1.4458481379381605
